"Reference","Value","Footprint","Datasheet","Manufacturer","Package","digikey part #","link","mount_type","mpn","Qty"
"C1, C3-C8, C11, C15, C17, C18","100nF/0402/50V/X7R/<=10%/ceramic","Capacitor_SMD:C_0402_1005Metric","~","Cal-Chip Electronics, Inc.","0402","4713-GMC04X7R104K50NTCT-ND","https://www.digikey.cn/en/products/detail/cal-chip-electronics-inc/GMC04X7R104K50NT/18151122","smt","GMC04X7R104K50NT","11"
"C2, C9, C16","22uF/0805/25V","Capacitor_SMD:C_0805_2012Metric","~","Cal-Chip Electronics, Inc.","0805","4713-GMC21X5R226M25NTCT-ND","https://www.digikey.cn/en/products/detail/cal-chip-electronics-inc/GMC21X5R226M25NT/18151071","smt","GMC21X5R226M25NT","3"
"C10, C13, C14","2.2uF/0603/>=16V","Capacitor_SMD:C_0603_1608Metric","~","Cal-Chip Electronics, Inc.","0603","4713-GMC10X7R225K16NTCT-ND","https://www.digikey.cn/en/products/detail/cal-chip-electronics-inc/GMC10X7R225K16NT/22461333","smt","GMC10X7R225K16NT","3"
"C12","22uF/0603/>=10V","Capacitor_SMD:C_0603_1608Metric","~","Cal-Chip Electronics, Inc.","0603","4713-GMC10X5R226M10NTCT-ND","https://www.digikey.cn/en/products/detail/cal-chip-electronics-inc/GMC10X5R226M10NT/22461275","smt","GMC10X5R226M10NT","1"
"D1","1A Zener Diode  / >=1A / 600 mV Vf @ 1 A","Diode_SMD:D_SOD-323","~","Good-Ark Semiconductor","D_SOD-323","4786-GDB5818WSCT-ND","https://www.digikey.com/en/products/detail/good-ark-semiconductor/GDB5818WS/18648294","smt","GDB5818WS","1"
"ESP32_QT_PY1","microcontroller","!RCMhardware footprints:ESP32 QT PY","~","do not place or purchase for PCB assembly","tht","1528-5426-ND or 1528-5700-ND","","tht","do not place or purchase for PCB assembly","1"
"H1, H2","MountingHole","MountingHole:MountingHole_2.2mm_M2","~","n/a","n/a","n/a","n/a","n/a","DNP","2"
"IC1, IC2","TMC7300","!RCMhardware footprints:QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm","https://www.analog.com/media/en/technical-documentation/data-sheets/TMC7300_datasheet_rev1.08.pdf","Analog Devices","QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm","175-TMC7300-LA-TCT-ND","https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/TMC7300-LA-T/11483537","smt","TMC7300-LA-T","2"
"J1","pads to solder wires to","!RCMhardware footprints:battery wires","JST RCY suggested","~","tht","~","https://www.amazon.com/dp/B00Z04QFN2/","tht","do not place or purchase for PCB assembly","1"
"J2-J5","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","~","tht","~","~","tht","do not place or purchase for PCB assembly","4"
"J6","2x04 female header pins","!RCMhardware footprints:PinSocket_2x04_P2.54mm_Vertical","~","do not place or purchase for PCB assembly","tht","S7107-ND","https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPTC082LFBN-RC/810214","tht","do not place or purchase for PCB assembly","1"
"J9","Conn_02x02_Top_Bottom","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~","do not place or purchase for PCB assembly","tht","~","~","tht","do not place or purchase for PCB assembly","1"
"NT1, NT2","NetTie_2","Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm","~","n/a","n/a","n/a","n/a","tht","do not place or purchase for PCB assembly","2"
"Q3, Q4","BSS138, N channel mosfet >=0.22A","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","onsemi","SOT-23","BSS138CT-ND","https://www.digikey.com/en/products/detail/onsemi/BSS138/244210","smt","BSS138","2"
"R1","30k / <=1%","Resistor_SMD:R_0402_1005Metric","~","Bourns Inc.","0402","CR0402-FX-3002GLFCT-ND","https://www.digikey.com/en/products/detail/bourns-inc/CR0402-FX-3002GLF/3783296","smt","CR0402-FX-3002GLF","1"
"R2, R7, R9-R13","10k / <=1%","Resistor_SMD:R_0402_1005Metric","~","Bourns Inc.","0402","CR0402-FX-1002GLFCT-ND","https://www.digikey.com/en/products/detail/bourns-inc/CR0402-FX-1002GLF/3593192","smt","CR0402-FX-1002GLF","7"
"R3-R6","120mΩ / 0.5W / 1206 / <=1%","Resistor_SMD:R_1206_3216Metric","~","Bourns Inc.","1206","CRL1206-FW-R120ELFCT-ND","https://www.digikey.com/en/products/detail/bourns-inc/CRL1206-FW-R120ELF/3785719","smt","CRL1206-FW-R120ELF","4"
"U1","pololu 4085","!RCMhardware footprints:pololu 4085","~","Pololu","tht","2183-4085-ND","https://www.digikey.com/en/products/detail/pololu-corporation/4085/16164508","tht","do not place or purchase for PCB assembly","1"
"U2","LTC3246EMSE-PBF / 500mA charge pump","!RCMhardware footprints:MSE_16_ADI","~","Analog Devices","16-TFSOP (0.118"", 3.00mm Width) Exposed Pad","LTC3246EMSE#PBF-ND","https://www.digikey.com/en/products/detail/analog-devices-inc/LTC3246EMSE-PBF/7363792","smt","LTC3246EMSE#PBF","1"
"U3","ICM-20948","!RCMhardware footprints:QFN40P300X300X105-24N","https://invensense.tdk.com/wp-content/uploads/2016/06/DS-000189-ICM-20948-v1.3.pdf","TDK InvenSense","24-QFN (3x3)","1428-1123-1-ND","https://www.digikey.com/en/products/detail/tdk-invensense/ICM-20948/6623535","smt (do not solder center pad)","ICM-20948","1"
"U4","MIC5225-1.8V","Package_TO_SOT_SMD:SOT-23-5","https://ww1.microchip.com/downloads/en/DeviceDoc/mic5225.pdf","Microchip","SC-74A, SOT-753","576-3017-1-ND","https://www.digikey.com/en/products/detail/microchip-technology/MIC5225-1-8YM5-TR/1834695","smt","MIC5225-1.8YM5-TR","1"
